PERMIT YEAR,Class,PROJECT DESCRIPTION,FINALED DATE,CONTRACTOR,TOTAL PAID,SUBAREA,NEIGHBORHOOD AREA,Lat,Lon
2013,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station},2013-07-15,G-TEK INC,105,Southwest Bellevue,West Bellevue,47.583378,-122.201041
2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Added or Altered Branch Circuits), GARAGE (SE# 327820), ADD RECEPTACLE FOR EV CHARGING",2014-05-13,SEAHURST ELECTRIC INC,58,Bridle Trails,Bridle Trails,47.645626,-122.171471
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-01-23,ELECTRI-CITY INC,110,Southeast Bellevue,West Lake Sammamish,47.600428,-122.111073
2017,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1-Feeder, 3-Light Fixtures, 2-Switches, 5-Receptacles, 3-Added or Altered Branch Circuits, 1-Panel, 2-Ground Rod} A Single Family Residential Alteration to Existing Structure Project Installing {1-Feeder, 3-Light Fixtures, 2-Switches, 5-Receptacles, 3-Added or Altered Branch Circuits, 1-Panel, 2-Ground Rod} Wiring for vehicle charging station",2017-10-18,Emerald City Electric,187,Wilburton/ne 8th St,Wilburton,47.603066,-122.171955
2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, EV Charger Installation",2013-10-03,PRIME ELECTRIC INC,102,Southwest Bellevue,West Bellevue,47.590955,-122.196529
2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, GARAGE INTERIOR, SUB PANEL ADDITION, NEW CIRCUIT FOR APPLIANCE OUTLET",2013-08-15,BEL-RED ELECTRIC SERVICE INC,102,Newcastle,Cougar Mountain / Lakemont,47.546568,-122.132328
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-07-29,PUGET SOUND SOLAR LLC JEREMY JAMES SMITHSON,108,Newcastle,Eastgate,47.564055,-122.125334
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2013-02-15,PUGET SOUND SOLAR LLC,105,Newcastle,Cougar Mountain / Lakemont,47.558205,-122.14228
2011,Single family,"A Single Family Residential Addition to Existing Structure Project Installing {1 Vehicle Charging Station}, Next to parking stalls",2011-12-06,PRIME ELECTRIC INC,98,Bridle Trails,Bridle Trails,47.646615,-122.161178
2017,Single family,A Single Family Residential Addition to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-05-31,PUGET SOUND SOLAR LLC,112,North Bellevue,Northwest Bellevue,47.623279,-122.19276
